"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"PS-VINS: A Visual–Inertial SLAM System With Pedestrian Gait and Structural Constraints Using Smartphone Sensors","D. Yan; C. Shi; T. Li; H. Jiang; M. Xia; Q. Guo; Y. Li","School of Electronic Information Engineering, Beihang University, Beijing, China; School of Electronic Information Engineering, Beihang University, Beijing, China; Advanced Research Institute of Multidisciplinary Sciences, Beijing Institute of Technology, Beijing, China; School of Electronic Information Engineering, Beihang University, Beijing, China; School of Electronic Information Engineering, Beihang University, Beijing, China; School of Electronic Information Engineering, Beihang University, Beijing, China; State Key Laboratory of Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China",IEEE Sensors Journal,"28 Feb 2024","2024","24","5","6777","6791","Due to the low-quality sensors of consumer-grade devices, such as smartphones, traditional point-based visual–inertial simultaneous localization and mapping (SLAM) techniques applied to smartphones commonly suffer from low localization accuracy and potential tracking divergence. Incorporating more measurements can enhance localization performance and robustness, but the additional computational consumption may not satisfy the real-time requirements in mobile location-based services, such as pedestrian positioning. For mobile SLAM applications focused on pedestrians in human-made environments, this article proposes PS-VINS, a real-time visual–inertial SLAM system using smartphone sensors, exploiting additional motion constraints from pedestrian gait and geometric constraints from structural line features. To enhance the pose estimation accuracy of back-end optimization, we incorporate motion measurement models of step velocity and length by utilizing extracted pedestrian gait information. In addition, we establish vanishing point (VP) and structural camera rotation measurement models based on structural line features. To ensure high efficiency, we present efficient methods for gait information extraction and VP estimation. PS-VINS can further integrate global navigation satellite system (GNSS) output from smartphones to achieve global positioning in open outdoor environments. The field test results, including both outdoor and indoor environments, demonstrate that PS-VINS addresses the issue of drift error due to the low-quality smartphone sensors, achieving improved localization accuracy and efficiency compared to the state-of-the-art (SOTA) SLAM techniques.","1558-1748","","10.1109/JSEN.2024.3351757","National Key Research and Development Program of China(grant numbers:2022YFB3904604); National Natural Science Foundation of China(grant numbers:62088101); Beijing Institute of Technology Research Fund Program for Young Scholars(grant numbers:XSQD-202222003); 03 Special and 5G Project of Jiangxi Province in 2022(grant numbers:20224ABC03W03); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10400404","Pedestrian localization;smartphone sensors;vanishing point (VP) estimation;visual–inertial odometry (VIO)","Sensors;Simultaneous localization and mapping;Location awareness;Pedestrians;Global navigation satellite system;Optimization;Feature extraction","","9","","53","IEEE","15 Jan 2024","1 March1, 2024","","IEEE","IEEE Journals"
"Observability Analysis for Improving EKF-SLAM Algorithm by Using Simulation","F. Zhang; S. Q. Li; S. Yuan; Y. Sun; K. Huang","Faculty of Information & Control Engineering, Shenyang Jianzhu University; Faculty of Information & Control Engineering, Shenyang Jianzhu University; Faculty of Information & Control Engineering, Shenyang Jianzhu University; Faculty of Information & Control Engineering, Shenyang Jianzhu University; Faculty of Information & Control Engineering, Shenyang Jianzhu University","2017 IEEE 7th Annual International Conference on CYBER Technology in Automation, Control, and Intelligent Systems (CYBER)","26 Aug 2018","2017","","","1009","1014","As for state estimation inconsistency in standard EKF-SLAM (Extended Kalman Filter, Simultaneous Localization and Mapping), a new algorithm that increasing observability constraint condition is represented in order to improve the consistency of standard EKF-SLAM. The observability constraint condition is first added and the compensation matrix U is constructed for standard EKF-SLAM algorithm in order to keep the rank of local observability matrix of EKF-SLAM consistent with non-linear SLAM system. Then we use data fusion based state delay estimation to improve the accuracy of the initial landmark position. Next, a new linear point is calculated through solving the constrained optimization problem and computing Jacobi matrix of state model and observation model of the linear error status system for improving system observation matrix. Finally, the simulation results illustrate that the proposed algorithm is superior to the standard EKF-SLAM algorithm in terms of state estimation accuracy and consistency.","","978-1-5386-0490-8","10.1109/CYBER.2017.8446557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8446557","Simultaneous localization and mapping;Robot control;Extended Kalman filter;Observability analysis;Optimal estimation;Estimation inconsistency","Mathematical model;Observability;Jacobian matrices;Simultaneous localization and mapping;Standards;Estimation","","1","","14","IEEE","26 Aug 2018","31 July-4 Aug. 2017","31 July-4 Aug. 2017","IEEE","IEEE Conferences"
"Interpretable Transformers for Bioinformatics-Driven Protein Subcellular Localization","S. M; J. S; V. R; D. D; D. K; S. Anandaraj","Department of Computer Science and Business Systems, R.M.K Engineering College, India; Department of Computer Science and Business Systems, R.M.K Engineering College, India; Department of Computer Science and Business Systems, R.M.K Engineering College, India; Department of Computer Science and Business Systems, R.M.K Engineering College, India; Department of Computer Science and Business Systems, R.M.K Engineering College, India; Department of Computer Science and Business Systems, R.M.K Engineering College, India",2026 4th International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS),"22 Jun 2026","2026","","","419","425","Understanding nuclear control mechanisms including transcription, DNA replication, and cellcycle regulation requires correct detection of Nuclear Localization Signals (NLSs) to explain intracellular protein trafficking pathways. Though recently created deep learning-based techniques have shown to significantly improve the prediction accuracy of the NLS, several obstacles still remain. Lack of generalization to a broad variety of protein families, lack of interpretability at a residue, and the inability to successfully model proteins with many sub-cellular localizations are all examples of this. To address these drawbacks, this study will present a novel hybrid deep learning architecture fusing classical protein localization features, and explainable attention-based learning. Based on an attention-unit-based NLS discovery model as a fundamental core, the suggested system will provide multi-scale attention visualization to provide hierarchical interpretability, multi-scale feature fusion via position-specific scoring matrices to improve robustness, and a confidence-conscious multilabel localization prediction algorithm to support the realistic biological circumstances. Extensive experimental research on experimentally created protein localization datasets reveal that the suggested framework predicts both canonical and non-canonical NLS motifs better, offers better biological insights using heatmap analysis, and has enhanced predictive ability across combined protein sequences.","","979-8-3315-7009-5","10.1109/ICSSAS68835.2026.11559500","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11559500","Nuclear Localization Signal;Protein Localization;Deep Learning;Transformer Networks;Explainable AI","Modeling;Location awareness;Proteins;Sequences;Sequential analysis;Labeling;Transformers;Printing;Encoding;Protein sequence","","","","17","IEEE","22 Jun 2026","28-30 May 2026","28-30 May 2026","IEEE","IEEE Conferences"
"Path-Constrained State Estimation for Rail Vehicles","C. Von Einem; A. Cramariuc; R. Siegwart; C. Cadena; F. Tschopp","Autonomous Systems Lab, ETH Zurich, Switzerland; Robotics Systems Lab, ETH Zurich, Switzerland; Autonomous Systems Lab, ETH Zurich, Switzerland; Autonomous Systems Lab, ETH Zurich, Switzerland; Arrival Ltd., London, United Kingdom",2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),"13 Feb 2024","2023","","","4600","4607","Globally rising demand for transportation by rail is pushing existing infrastructure to its capacity limits, necessitating the development of accurate, robust, and high-frequency positioning systems to ensure safe and efficient train operation. As individual sensor modalities cannot satisfy the strict requirements of robustness and safety, a combination thereof is required. We propose a path-constrained sensor fusion framework to integrate various modalities while leveraging the unique characteristics of the railway network. To reflect the constrained motion of rail vehicles along their tracks, the state is modeled in 1D along the track geometry. We further leverage the limited action space of a train by employing a novel multi-hypothesis tracking to account for multiple possible trajectories a vehicle can take through the railway network. We demonstrate the reliability and accuracy of our fusion framework on multiple tram datasets recorded in the city of Zurich, utilizing Visual-Inertial Odometry for local motion estimation and a standard GNSS for global localization. We evaluate our results using ground truth localizations recorded with a RTK-GNSS, and compare our method to standard baselines. A Root Mean Square Error of 4.78m and a track selectivity score of up to 94.9% have been achieved.","2153-0017","979-8-3503-9946-2","10.1109/ITSC57777.2023.10422075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10422075","","Rails;Location awareness;Simultaneous localization and mapping;Tracking;Rail transportation;State estimation;Standards","","2","","55","IEEE","13 Feb 2024","24-28 Sept. 2023","24-28 Sept. 2023","IEEE","IEEE Conferences"
"An improved localization method based on the fusion of Kinect and odometry","C. Lu; Z. Wang; B. Cai","School of Electronic Information and Engineering, Beijing Jiaotong University, Beijing, China; Beijing Engineering Research Center of EMC and GNSS Technology for Rail Transportation, Beijing, China; School of Electronic Information and Engineering, Beijing Jiaotong University, Beijing, China",2017 IEEE International Conference on Unmanned Systems (ICUS),"1 Feb 2018","2017","","","500","505","Both the kinect and odometry sensor are low cost and popularly installed in the mobile robot for indoor applications, but they are suffering from low precision and are prone to error accumulation issues. To improve the localization accuracy of the mobile robot, an improved positioning method based on the fusion of kinect and odometry is proposed, which uses the Generalized Iterative Closest Point (GICP) algorithm to solve the rotation and translation. Compared with the standard Iterative Closest Point (ICP) algorithm, the improved GICP is more efficient. And with framework of the extended Kalman filter (EKF), the output of kinect is taken as the observation, and the output of odometry sensor is used as the system model. By making use of the fusion strategy, the noise is greatly suppressed. The experimental results show that the positioning accuracy and stability are improved by the proposed method.","","978-1-5386-3107-2","10.1109/ICUS.2017.8278397","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8278397","Generalized Iterative Closest Point (GICP);Extended Kalman Filter (EKF);Visual Odometry","Robot sensing systems;Feature extraction;Three-dimensional displays;Visual odometry;Iterative closest point algorithm;Motion estimation;Mobile robots","","1","","17","IEEE","1 Feb 2018","27-29 Oct. 2017","27-29 Oct. 2017","IEEE","IEEE Conferences"
"Robot Localization via Passive UHF-RFID Technology: State-of-the-Art and Challenges","A. Motroni; P. Nepa; A. Buffi; B. Tellini","Department of Information Engineering, University of Pisa, Pisa, Italy; Department of Information Engineering, University of Pisa, Pisa, Italy; Dept. Energy, Systems, Territory and Costructions Engineering, University of Pisa, Pisa, Italy; Dept. Energy, Systems, Territory and Costructions Engineering, University of Pisa, Pisa, Italy",2020 IEEE International Conference on RFID (RFID),"4 Nov 2020","2020","","","1","8","This paper presents a state-of-the-art analysis on the current methods for robot localization based on the passive UHF-RFID technology. The state-of-the-art analysis describes the main features and challenges of several localization methods. Then, a first experimental analysis related to a novel phase-based robot localization method is presented. The robot on-board reader collects phase data from a set of passive reference tags during its motion, so resembling to a synthetic array. Then, the phase data are combined with information acquired by low-cost kinematic sensors, through a Sensor Fusion approach. The experimental results show that centimetre order localization errors can be achieved in a typical office indoor scenario by employing a few reference tags.","2573-7635","978-1-7281-5576-0","10.1109/RFID49298.2020.9244884","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9244884","Robot Localization;Robot Tracking;SLAM;UHF-RFID Localization;RFID;Phase-based Localization;Tag Localization;Sensor Fusion;Data Fusion","Phased arrays;Kinematics;Sensor fusion;Robot sensing systems;Robot localization;Sensors;Radiofrequency identification","","10","","44","IEEE","4 Nov 2020","28 Sept.-16 Oct. 2020","28 Sept.-16 Oct. 2020","IEEE","IEEE Conferences"
"Sliding Mode SLAM for Robust Simultaneous Localization and Mapping","S. Ortiz; W. Yu; E. Zamora","Departamento de Control Automatico, CINVESTAV-IPN, Mexico City, Mexico; Departamento de Control Automatico, CINVESTAV-IPN, Mexico City, Mexico; UPIITA, Instituto Politecnico Nacional, Mexico City, Mexico",IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society,"30 Dec 2018","2018","","","5674","5679","Normal SLAMs use the extended Kalman filter to estimate robot localization and the mapping simultaneously. They do not work well under big disturbances and bounded noises. In this paper, the sliding mode method is applied for the SLAM. The proposed sliding model SLAM only requires the noises and the disturbances are bounded. The estimation errors are analyzed, and the stability of the novel SLAM is proposed. A mobile robot is applied in the experiment to show the effectiveness of the sliding mode SLAM in the presence of bounded noises.","2577-1647","978-1-5090-6684-1","10.1109/IECON.2018.8591121","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8591121","SLAM;sliding mode;stability","Simultaneous localization and mapping;Mobile robots;Kalman filters;Estimation error;Covariance matrices;Observers","","1","","32","IEEE","30 Dec 2018","21-23 Oct. 2018","21-23 Oct. 2018","IEEE","IEEE Conferences"
"High accuracy localization and docking for mobile robots in low dynamic environments","L. Hu; W. Lu; X. Li; H. Lin","Navigation and Localization Algorithm Department, Zhejiang HuaRay Technology Co., Lt., Hangzhou, China; Navigation and Localization Algorithm Department, Zhejiang HuaRay Technology Co., Lt., Hangzhou, China; Software Research and Development Center, Zhejiang HuaRay Technology Co., Lt., Hangzhou, China; Navigation and Localization Algorithm Department, Zhejiang HuaRay Technology Co., Lt., Hangzhou, China","2024 4th International Conference on Neural Networks, Information and Communication Engineering (NNICE)","22 Apr 2024","2024","","","1579","1587","Localization and Navigation technology of mobile robots is becoming increasingly important in production and manufacturing factory. It is necessary to ensure localization and docking accuracy at high accuracy points and routes. In this paper, we propose a high-accuracy localization method based on 2D laser, wheel odometry, and prior probability grid map. The algorithm can maintain the accuracy of robot trajectory estimation in an dynamic environment that changes over time. Two resolution prior probability grid maps are constructed to determine the initial pose of the mobile robot. A factor graph model is constructed, allowing multiple relative or absolute observations, to be added to the factor graph as factors. During localization, two local submaps are constructed in real time, and are jointly optimized with prior maps before being used to the local scan matching. The laser odometry is generated by using local submaps scan matching, and is added to the factor graph model along with the wheel odometry and prior map scan matching. At the same time, several artificial features are designed at high-accuracy docking target points, and ensure the final docking accuracy by identifying artificial features.","","979-8-3503-9437-5","10.1109/NNICE61279.2024.10499109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499109","factor graph;dynamic environment;artificial features","Location awareness;Navigation;Heuristic algorithms;Wheels;Laser modes;Real-time systems;Trajectory","","","","14","IEEE","22 Apr 2024","19-21 Jan. 2024","19-21 Jan. 2024","IEEE","IEEE Conferences"
"RING++: Roto-Translation Invariant Gram for Global Localization on a Sparse Scan Map","X. Xu; S. Lu; J. Wu; H. Lu; Q. Zhu; Y. Liao; R. Xiong; Y. Wang","Zhejiang University, Zhejiang, China; Zhejiang University, Zhejiang, China; Zhejiang University, Zhejiang, China; Zhejiang University, Zhejiang, China; Zhejiang University, Zhejiang, China; Zhejiang University, Zhejiang, China; Zhejiang University, Zhejiang, China; Zhejiang University, Zhejiang, China",IEEE Transactions on Robotics,"8 Dec 2023","2023","39","6","4616","4635","Global localization plays a critical role in many robot applications. LiDAR-based global localization draws the community's focus with its robustness against illumination and seasonal changes. To further improve the localization under large viewpoint differences, we propose RING++ that has roto-translation-invariant representation for place recognition and global convergence for both rotation and translation estimation. With the theoretical guarantee, RING++ is able to address the large viewpoint difference using a lightweight map with sparse scans. In addition, we derive sufficient conditions of feature extractors for the representation preserving the roto-translation invariance, making RING++ a framework applicable to generic multichannel features. To the best of our knowledge, this is the first learning-free framework to address all the subtasks of global localization in the sparse scan map. Validations on real-world datasets show that our approach demonstrates better performance than state-of-the-art learning-free methods and competitive performance with learning-based methods. Finally, we integrate RING++ into a multirobot/session simultaneous localization and mapping system, performing its effectiveness in collaborative applications.","1941-0468","","10.1109/TRO.2023.3303035","National Key Research and Development Program of China(grant numbers:2021ZD0114500); Natural Science Foundation of Zhejiang Province(grant numbers:LGG21F030012); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10224330","Global localization;place recognition;simultaneous localization and mapping (SLAM)","Feature extraction;Location awareness;Pose estimation;Point cloud compression;Laser radar;Task analysis;Simultaneous localization and mapping","","85","","69","IEEE","18 Aug 2023","Dec. 2023","","IEEE","IEEE Journals"
"Stochastic Approach for Feature-Based Tip Localization and Planning in Nanomanipulations","S. Yuan; Z. Wang; L. Liu; N. Xi; Y. Wang","Graduate School of Chinese Academy of Sciences, Beijing, China; Department of Advanced Robotics, Chiba Institute of Technology, Chiba, Japan; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; Department of Industrial and Manufacturing Systems Engineering, University of Hong Kong, Hong Kong; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China",IEEE Transactions on Automation Science and Engineering,"4 Oct 2017","2017","14","4","1643","1654","In atomic force microscopy (AFM)-based nanomanipulation, the tip position uncertainties still exist due to the parameter inaccuracies in the open-loop compensation of the piezo scanner, the noise in the closed-loop control and thermal drift. These spatial uncertainties are very challenging to be directly estimated owing to the lack of real-time feedback, and its effects are more significant in performing an automatic nanomanipulation/assembly task than macro world manipulations. In this paper, we propose a stochastic framework for feature-based localization and planning in nanomanipulations to cope with these uncertainties. In the proposed framework, some features in the sample surface are identified to calculate their positions in statistics, and detected by using the AFM tip as the sensor itself through a local scan-based motion. In the localization, the Kalman filter is used through incorporating the tip motion model and the local scan-based observation model to estimate the on-line tip position in the task space. The simulation and experiments about tip positioning are carried out to illustrate the validity and feasibility of the proposed algorithm. Then, positioning tip for effective nanomanipulation is presented by using several experiments. Finally, a carbon nanotube is followed to show that the proposed method can provide a great potential for improving the position accuracy.","1558-3783","","10.1109/TASE.2017.2698003","National Natural Science Foundation of China(grant numbers:61175103,61305125); National Post Doctor Foundation(grant numbers:2013M530955,2014T70265); Discipline Content Education Project (XKHY2-66); The National 863 Project(grant numbers:2012AA020100); Chinese Academy of Sciences State Foreign Expert Bureau International Partnership Program for Creative Research Teams; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932997","AFM-based nanomanipulation;AFM tip localization;feature-based localization;Kalman filter","Uncertainty;Robot sensing systems;Stochastic processes;Atomic force microscopy;Kalman filters;Carbon nanotubes;Robot localization","","11","","32","IEEE","23 May 2017","Oct. 2017","","IEEE","IEEE Journals"
"Mobile Robot Localization via Indoor Positioning System and Odometry Fusion","M. H. Nugraha; F. Abdul; L. Bramantyo; E. Rijanto; R. P. Saputra; O. Mahendra","Research Centre for Smart Mechatronics, National Research and Innovation Agency, Bandung, Indonesia; Electrical Engineering Department, Telkom University, Bandung, Indonesia; Mechanical Engineering Department, Institute Technology of Bandung, Bandung, Indonesia; Research Centre for Smart Mechatronics, National Research and Innovation Agency, Bandung, Indonesia; Research Centre for Smart Mechatronics, National Research and Innovation Agency, Bandung, Indonesia; Research Centre for Smart Mechatronics, National Research and Innovation Agency, Bandung, Indonesia",2024 IEEE International Conference on Smart Mechatronics (ICSMech),"30 Dec 2024","2024","","","1","6","Accurate localization is crucial for effectively operating mobile robots in indoor environments. This paper presents a comprehensive approach to mobile robot localization by integrating an ultrasound-based indoor positioning system (IPS) with wheel odometry data via sensor fusion techniques. The fusion methodology leverages the strengths of both IPS and wheel odometry, compensating for the individual limitations of each method. The Extended Kalman Filter (EKF) fusion method combines the data from the IPS sensors and the robot's wheel odometry, providing a robust and reliable localization solution. Extensive experiments in a controlled indoor environment reveal that the fusion-based localization system significantly enhances accuracy and precision compared to standalone systems. The results demonstrate significant improvements in trajectory tracking, with the EKF-based approach reducing errors associated with wheel slippage and sensor noise.","","979-8-3503-6891-8","10.1109/ICSMech62936.2024.10812253","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10812253","indoor localization;wheel odometry;indoor positioning system;sensor fusion;extended Kalman filter;autonomous mobile robot","Location awareness;Accuracy;Ultrasonic imaging;Wheels;Robot sensing systems;Mobile robots;Odometry;IP networks;Kalman filters;Indoor positioning systems","","3","","14","IEEE","30 Dec 2024","19-21 Nov. 2024","19-21 Nov. 2024","IEEE","IEEE Conferences"
"G-VIDO: A Vehicle Dynamics and Intermittent GNSS-Aided Visual-Inertial State Estimator for Autonomous Driving","L. Xiong; R. Kang; J. Zhao; P. Zhang; M. Xu; R. Ju; C. Ye; T. Feng","Institute of Intelligent Vehicle, Tongji University, Shanghai, China; Institute of Intelligent Vehicle, Tongji University, Shanghai, China; Institute of Intelligent Vehicle, Tongji University, Shanghai, China; Institute of Intelligent Vehicle, Tongji University, Shanghai, China; Institute of Intelligent Vehicle, Tongji University, Shanghai, China; Institute of Intelligent Vehicle, Tongji University, Shanghai, China; Department of Computer Science and Technology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; College of Surveying and Geoinformatics, Tongji University, Shanghai, China",IEEE Transactions on Intelligent Transportation Systems,"10 Aug 2022","2022","23","8","11845","11861","This paper proposes G-VIDO, a vehicle dynamics, and intermittent Global Navigation Satellite System (GNSS)-aided visual-inertial state estimator, to address the state estimation problem of autonomous vehicle localization (i.e., position and orientation estimation in the global coordinate system) under various GNSS states. A dynamics pre-integration theory is proposed on the basis of a two-degree-of-freedom (DOF) vehicle dynamics model, and dynamics constraints are built in the optimization back-end, considering the unobservable problem of the monocular visual-inertial system under degenerate motions. The proposed highly nonlinear system can be robustly initialized by loosely aligning the monocular structure from motion (SfM) results, pre-integrated IMU measurements, and vehicle motion information. GNSS is used for reference frame transformation and constraint construction in the sliding window. The cumulative error can be corrected with the aid of GNSS, and the vehicle’s position in the global coordinate system can be determined. A GNSS anomaly detection algorithm is proposed to improve the system robustness under intermittent GNSS. Experiments have shown that G-VIDO can provide real-time, robust, and seamless localization in multiple GNSS states, with an RMSE of less than 30 cm (with GNSS). Moreover, we proved that the initialization and local odometry modules in G-VIDO outperform several state-of-the-art VIO systems and our preliminary work VINS-Vehicle.","1558-0016","","10.1109/TITS.2021.3107873","National Key Research and Development Program of China(grant numbers:2018YFB0105101,2018YFB0105103,2018YFB0505400); National Natural Science Foundation of the People’s Republic of China(grant numbers:U1764261,41801335,41871370,51975414); Special Funds for Basic Research Operating Costs of Central Colleges and Universities(grant numbers:22120190205); Research on Test and Evaluation Methods of Advanced Driver Assistant System (ADAS) and the Standard-Setting(grant numbers:GYQJ-2017-4-08); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9531563","Dynamics pre-integration;multi-sensor fusion;state estimator;vehicle localization","Global navigation satellite system;Location awareness;Vehicle dynamics;Visualization;Wheels;Estimation;Autonomous vehicles","","57","","51","IEEE","8 Sep 2021","Aug. 2022","","IEEE","IEEE Journals"
"RF-DEGO: A Range Free Localization Algorithm for Non Uniform Node Distributions and Obstacle Environments","H. Sun; Y. Zhang","College of Computer Science and Engineering, Shandong University of Science and Technology, Qingdao, China; School of Shandong University of Science and Technology, Qingdao, China",IEEE Transactions on Mobile Computing,"3 Oct 2025","2025","24","11","12517","12532","Range-free localization algorithms have attracted considerable attention for outdoor wireless sensor network (WSN) positioning because they are less susceptible to environmental factors when estimating inter node distances and require only a few beacon nodes with known locations to rapidly determine all node positions. Among these, the connectivity based DV Hop algorithm has become widely used due to its simplicity and ease of implementation. However, its localization accuracy is limited and it is easily degraded by non uniform node distributions and obstacle environments. To address these shortcomings, this paper proposes a novel range free localization algorithm (RF-DEGO). First, a new distance estimation formula is derived from node connectivity and the probability distribution of distances. Next, the estimated distances are corrected using the local node density along communication paths, and paths identified as detouring around obstacles receive a further correction. Finally, an enhanced hierarchical Grey Wolf Optimization algorithm computes the node positions. Extensive simulation experiments under various network scenarios and parameter settings show that the proposed algorithm outperforms several existing localization methods in both accuracy and computation time, demonstrating superior overall performance and strong competitiveness.","1558-0660","","10.1109/TMC.2025.3586636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11072367","Wireless sensor networks (WSN);node localization;range-free localization algorithm;grey wolf optimization algorithm (GWO)","Location awareness;Accuracy;Heuristic algorithms;Wireless sensor networks;Optimization;Estimation;Costs;Position measurement;Least mean squares methods;Hardware","","1","","47","IEEE","7 Jul 2025","Nov. 2025","","IEEE","IEEE Journals"
"Distributed Adaptive Sub-Filter for Range-Only SLAM","Y. Ma; C. Yu; X. Qiao","School of Automation, Beijing Institute of Technology, Beijing, China; Chongqing Innovation Center, Beijing Institute of Technology, Chongqing, China; School of Automation, Beijing Institute of Technology, Beijing, China",2025 44th Chinese Control Conference (CCC),"10 Oct 2025","2025","","","5083","5088","The primary challenge in 3D range-only SLAM is achieving rapid and accurate state estimation in high-dimensional environments. This paper introduces a distributed adaptive sub-filter framework, in which independent sub-filters are designed for each beacon. Within each sub-filter, a hybrid Unscented Kalman Filter (UKF) and particle filter(PF) approach is used for local state estimation. The global filter output is then derived by fusing the estimation results from all individual sub-filters. Simulation experiments show that, under identical experimental conditions, the proposed method outperforms the distributed UKF and distributed UIKF in terms of estimation accuracy.","1934-1768","978-988-75816-1-1","10.23919/CCC64809.2025.11178933","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11178933","Range-only;Simultaneous Localization and Mapping (SLAM);Unscented Kalman Filter;Particle Filter;Distributed Sub-filter","Simultaneous localization and mapping;Accuracy;Three-dimensional displays;Particle filters;Kalman filters;State estimation","","","","16","","10 Oct 2025","28-30 July 2025","28-30 July 2025","IEEE","IEEE Conferences"
"Experimental study on using visual odometry for navigation in outdoor GPS-denied environments","M. Sharifi; X. Chen; C. G. Pretty","Department of Mechanical Engineering, University of Canterbury, Christchurch, New Zealand; Department of Mechanical Engineering, University of Canterbury, Christchurch, New Zealand; Department of Mechanical Engineering, University of Canterbury, Christchurch, New Zealand",2016 12th IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications (MESA),"10 Oct 2016","2016","","","1","5","This paper presents an experimental study on utilizing visual odometry (VO) for pose estimation of mobile robots in outdoor GPS-denied environments. The experiments have been done using two different stereo VO algorithms implemented in Robot Operating System (ROS). The results have been compared with ground truth and drift has been identified. Sensor integration has been successfully used to minimize the drift. Challenges and possible solutions have been presented for future research and development.","","978-1-5090-6190-7","10.1109/MESA.2016.7587182","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7587182","VO;drift minimization;sensor fusion;GPS denied environment;motion estimation","Cameras;Global Positioning System;Mobile robots;Robot vision systems;Feature extraction","","5","","29","IEEE","10 Oct 2016","29-31 Aug. 2016","29-31 Aug. 2016","IEEE","IEEE Conferences"
"Research on Autonomous Localization Method of Coal Mine Underground Mobile Robot Based on Multi sensor Fusion","Y. Bai; F. Xing; W. Liu","Xi'an University of Science and Technology, Engineering training center, Xi'an, China; Xi'an University of Science and Technology, College of Electrical and Control Engineering, Xi'an, China; Xi'an University of Science and Technology, College of Electrical and Control Engineering, Xi'an, China","2023 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)","29 Jan 2024","2023","","","1","6","Aiming at the complex and relatively closed underground environment of coal mine where mobile robot work, this paper proposes an autonomous localization method for coal mine underground mobile robot based on multi-sensor fusion. A simple robot localization model based on turning is established, which replaces the traditional method of estimating complex ground parameters in coal mine tunnel. In order to improve locating accuracy, a multi-sensor fusion localization algorithm based on EKF+AMCL (Extended Kalman Filter+ Adaptive Monte Carlo Localization) is proposed. The EKF algorithm is used to eliminate the white Gaussian noise in the path angle signal of the robot. By the AMCL algorithm, the location and path angle of the robot is fused with Lidar and Map data to obtain real time location and path angle after corrected errors. The experiment shows that in the established robot turning tunnel environment, the high-precision autonomous localization of the robot can be achieved, with an average location error of 0.027m and an average path angle error of 2.23°.","2837-116X","979-8-3503-1672-8","10.1109/ICSPCC59353.2023.10400323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10400323","Coal mine underground tunnels;Mobile robot;Autonomous localization;Multi sensor fusion;EKF+AMCL","Location awareness;Signal processing algorithms;Robot sensing systems;Turning;Robot localization;Coal mining;Mobile robots","","3","","14","IEEE","29 Jan 2024","14-17 Nov. 2023","14-17 Nov. 2023","IEEE","IEEE Conferences"
